Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
meeting,25,16:00:00,,break,25,16:05:00,,,,,,,,
work,55,16:25:00,,work,30,16:30:00,,,,,,,,
leave,,17:20:00,,leave,,17:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,29-Aug-14,ACTUAL,,Date:,29-Aug-14,PLAN,,,,,,,,
wake up get ready,25,10:15:00,,wake up get ready,25,10:15:00,,,,,,,,
drive to work,10,10:40:00,,drive to work,10,10:40:00,,,,,,,,
shower,15,10:50:00,,shower,15,10:50:00,,,,,,,,
walk to office,10,11:05:00,,walk to office,10,11:05:00,,,,,,,,
work,60,11:15:00,,work,60,11:15:00,,,,,,,,
bathroom,10,12:15:00,,bathroom,10,12:15:00,,,,,,,,
work,15,12:25:00,,work,15,12:25:00,,,,,,,,
program,15,12:40:00,,program,15,12:40:00,,,,,,,,
lunch,75,12:55:00,,lunch,75,12:55:00,,,,,,,,
work,20,14:10:00,,work,20,14:10:00,,,,,,,,
program call,15,14:30:00,,program call,15,14:30:00,,,,,,,,
churn,5,14:45:00,,churn,5,14:45:00,,,,,,,,
work,90,14:50:00,,work,90,14:50:00,,,,,,,,
program,15,16:20:00,,program,15,16:20:00,,,,,,,,
plan,0,16:35:00,,PLAN,5,16:35:00,,,,,,,,
synopses,50,16:35:00,,synopses,45,16:40:00,,,,,,,,
work,50,17:25:00,,work,45,17:25:00,,,,,,,,
churn,15,18:15:00,,leave,,18:10:00,,,,,,,,
leave,,18:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,28-Aug-14,ACTUAL,,Date:,28-Aug-14,PLAN,,,,,,,,
wake up get ready,95,8:00:00,,wake up get ready,95,8:00:00,,,,,,,,
drive to work,15,9:35:00,,drive to work,15,9:35:00,,,,,,,,
work,20,9:50:00,,work,20,9:50:00,tax $ biking,,,,,,,
program,20,10:10:00,,program,20,10:10:00,subanly,,,,,,,
work,60,10:30:00,,work,60,10:30:00,,,,,,,,
photo research,30,11:30:00,,photo research,30,11:30:00,,,,,,,,
plan,5,12:00:00,,plan,5,12:00:00,,,,,,,,
eat,15,12:05:00,,eat,10,12:05:00,,,,,,,,
work,10,12:20:00,,work,25,12:15:00,,,,,,,,
program call,15,12:30:00,,lunch,50,12:40:00,,,,,,,,
lunch,50,12:45:00,,work,45,13:30:00,,,,,,,,
work,35,13:35:00,,program,25,14:15:00,,,,,,,,
music,25,14:10:00,,expenditures research,30,14:40:00,,,,,,,,
synopses,85,14:35:00,,work,45,15:10:00,,,,,,,,
meeting,40,16:00:00,,juggle,30,15:55:00,,,,,,,,
churn,15,16:40:00,,work,35,16:25:00,,,,,,,,
work,25,16:55:00,,expenditures research,50,17:00:00,,,,,,,,
expenditures research,5,17:20:00,,leave,,17:50:00,,,,,,,,
meditation,10,17:25:00,,,,,,,,,,,,
leave,,17:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,27-Aug-14,ACTUAL,,Date:,27-Aug-14,PLAN,,,,,,,,
wake up get ready,95,7:55:00,,wake up get ready,95,7:55:00,,,,,,,,
drive to work,15,9:30:00,,drive to work,15,9:30:00,,,,,,,,
churn,10,9:45:00,,churn,10,9:45:00,,,,,,,,
plan,5,9:55:00,,plan,5,9:55:00,,,,,,,,
eat,15,10:00:00,,eat,5,10:00:00,,,,,,,,
program,5,10:15:00,,program,5,10:05:00,,,,,,,,
work,65,10:20:00,,work,25,10:10:00,,,,,,,,
walk,35,11:25:00,,walk,30,10:35:00,,,,,,,,
work,15,12:00:00,,work,45,11:05:00,,,,,,,,
lunch,75,12:15:00,,lunch,65,11:50:00,,,,,,,,
program call,5,13:30:00,,work,45,12:55:00,,,,,,,,
work,35,13:35:00,,program,55,13:40:00,,,,,,,,
mr. rogers research,15,14:10:00,,work,45,14:35:00,,,,,,,,
work,15,14:25:00,,juggle,25,15:20:00,,,,,,,,
churn,45,14:40:00,,work,35,15:45:00,,,,,,,,
